file_name,source_path,file_size_mb,matched_by,matched_keyword
QCDT-GYYHPC 1181-2022 弹簧管式一般压力表、压力真空表及真空表检定规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1181-2022 弹簧管式一般压力表、压力真空表及真空表检定规程.pdf,0.360,pdf_content,仪表+控制
QCDT-GYYHPC 1182-2022 电流表、电压表、功率表及电阻表检定规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1182-2022 电流表、电压表、功率表及电阻表检定规程.pdf,0.874,pdf_content,热电偶
QCDT-GYYHPC 1183-2022 电测量变送器检定规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1183-2022 电测量变送器检定规程.pdf,1.133,filename,变送器
QCDT-GYYHPC 1184-2022 交直流电流、电压变送器检定规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1184-2022 交直流电流、电压变送器检定规程.docx,0.080,filename,变送器
QCDT-GYYHPC 1184-2022 交直流电流、电压变送器检定规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1184-2022 交直流电流、电压变送器检定规程.pdf,0.372,filename,变送器
QCDT-GYYHPC 1186-2022 水工作业安全规程 .pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1186-2022 水工作业安全规程 .pdf,0.571,pdf_content,仪表+控制
QCDT-GYYHPC 1188-2022 SF6气体回收装置操作规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1188-2022 SF6气体回收装置操作规程.pdf,0.291,pdf_content,仪表+控制
QCDT-GYYHPC 1001-2022 生产设备双重名称及编号规范.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1001-2022 生产设备双重名称及编号规范.docx,0.390,docx_content,仪表+控制
QCDT-GYYHPC 1119-2023.ZY03 座环检修作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班4号机组检修/2023-2024/作业指导书/QCDT-GYYHPC 1119-2023.ZY03 座环检修作业指导书.docx,0.065,docx_content,仪表+控制
QCDT-GYYHPC 1119-2023.ZY03 转轮检查及处理检修作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班3号机组检修/2022-2023/3号机作业指导书/QCDT-GYYHPC 1119-2023.ZY03 转轮检查及处理检修作业指导书.docx,0.065,docx_content,仪表+控制
QCDT-GYYHPC 1119-2023.ZY03 转轮检查及座环检修作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班2号机组检修/2023-2024/检修作业指导书（签字扫描版）/QCDT-GYYHPC 1119-2023.ZY03 转轮检查及座环检修作业指导书.docx,0.065,docx_content,仪表+控制
QCDT观音岩技术标准提取问答对.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电问答对/QCDT观音岩技术标准提取问答对.docx,0.137,docx_content,仪表+控制
QGDW 267-2009 继电保护和电网安全自动装置现场工作保安规定.pdf,/data1/无监督数据/未清洗数据/行业标准/国家电网公司企业标准Q_GDW/QGDW 267-2009 继电保护和电网安全自动装置现场工作保安规定.pdf,0.082,pdf_content,仪器仪表
QGN0044-2021防治锅炉”四管“泄漏技术导则.docx,/data1/无监督数据/未清洗数据/火电大模型标准/锅炉/01-3-集团标准/QGN0044-2021防治锅炉”四管“泄漏技术导则.docx,0.737,docx_content,仪表+控制
QX189203BLE15-22用户手册001（制动空压机）.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/机械说明书/中低压气机用户手册/QX189203BLE15-22用户手册001（制动空压机）.pdf,1.601,pdf_content,电磁阀
Q／GNDL 04—004—2023 新能源产业运行技术监督工作标准.pdf,/data2/无监督数据/未清洗数据/龙源技术监督/已改名文件/05绝缘-2/Q／GNDL 04—004—2023 新能源产业运行技术监督工作标准.pdf,0.296,pdf_content,主控室
Q／GNDL 05—033—2024 电力产业技术监督实施细则 第33部分：新能源继电保护技术监督实施细则.pdf,/data2/无监督数据/未清洗数据/龙源技术监督/已改名文件/07继保、监控防护专业/规程、标准/Q／GNDL 05—033—2024 电力产业技术监督实施细则 第33部分：新能源继电保护技术监督实施细则.pdf,0.638,pdf_content,仪表+控制
RCS-985RE注入式发电机转子接地保护装置技术和使用说明书(ZL_YJBH2007.0905).pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/二次说明书/保护、直流、励磁/发变组/南瑞发变组保护说明书/RCS-985RE注入式发电机转子接地保护装置技术和使用说明书(ZL_YJBH2007.0905).pdf,0.502,pdf_content,电磁兼容+核
RCS-985RS-SS_X_说明书_国内中文_国内标准版_X_R1.12_(ZL_YJBH2014.1305).pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/二次说明书/保护、直流、励磁/发变组/南瑞发变组保护说明书/RCS-985RS-SS_X_说明书_国内中文_国内标准版_X_R1.12_(ZL_YJBH2014.1305).pdf,1.090,pdf_content,电磁兼容+核
RCS915典型保护调试指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/二次说明书/保护、直流、励磁/开关站/南瑞继保典型保护调试指导书/RCS915典型保护调试指导书.pdf,8.404,pdf_content,核电
